"Kilde: Meldingssystem for smittsomme sykdommer (MSIS), FHI"


"";"Koronavirus med utbruddspotensial, Februar";"Koronavirus med utbruddspotensial, Mars";"Koronavirus med utbruddspotensial, Januar"
Ullensvang;1;22;1
Ulvik;122;0;8
Vaksdal;0;2;2
Vik;0;1;1
Voss;29;1;8
Årdal;2;5;0
Øygarden;42;59;26
Aremark;3;0;0
Asker;174;654;190
Aurskog-Høland;26;99;26
Bærum;351;992;273
Drammen;66;1065;341
Eidsvoll;64;223;75
Enebakk;16;124;59
Flesberg;0;5;9
Flå;0;0;3
Fredrikstad;293;586;380
Frogn;9;66;49
Gjerdrum;39;64;11
Gol;1;8;7
Halden;150;181;125
Hemsedal;1;7;3
Hol;0;0;3
Hole;8;10;12
Hurdal;20;3;7
Hvaler;4;16;14
Indre Østfold;35;177;79
Jevnaker;6;12;3
Kongsberg;46;73;85
Krødsherad;11;7;8
Lier;51;238;96
Lillestrøm;329;1033;380
Lunner;0;35;8
Lørenskog;176;705;280
Marker;7;8;6
Modum;13;28;22
Moss;206;273;195
Nannestad;34;124;30
Nes;56;181;79
Nesodden;15;104;67
Nittedal;151;180;94
Nordre Follo;108;455;347
Nore og Uvdal;1;0;1
Rakkestad;6;40;39
Ringerike;65;163;43
Rollag;0;1;0
Råde;14;50;14
Rælingen;148;280;90
Sarpsborg;204;863;274
Sigdal;1;0;46
Skiptvet;2;22;2
Ullensaker;194;550;207
Vestby;21;100;52
Våler (Østfold);8;15;31
Ål;0;1;1
Ås;38;136;81
Øvre Eiker;23;45;36
